Municipality,County,Pres16,Pres20,Swing,GEOID
Absecon,Atlantic,-0.0504,-0.0147,0.0357,3400100100
Atlantic City,Atlantic,0.6306,0.5479,-0.0827,3400102080
Brigantine City,Atlantic,-0.1651,-0.1588,0.0063,3400107810
Buena,Atlantic,-0.1071,-0.0824,0.0247,3400108680
Buena Vista,Atlantic,-0.1093,-0.1535,-0.0442,3400108710
Corbin City,Atlantic,-0.2829,-0.3262,-0.0433,3400115160
Egg Harbor,Atlantic,0.0203,0.1422,0.1219,3400120290
Egg Harbor City,Atlantic,0.113,0.0391,-0.0739,3400120350
Estell Manor,Atlantic,-0.4515,-0.4014,0.0501,3400121870
Folsom,Atlantic,-0.2495,-0.2713,-0.0218,3400123940
Galloway,Atlantic,0.0193,0.0238,0.0045,3400125560
Hamilton,Atlantic,0.056,0.0874,0.0314,3400129280
Hammonton,Atlantic,-0.2324,-0.2106,0.0218,3400129430
Linwood,Atlantic,-0.1009,-0.0405,0.0604,3400140530
Longport,Atlantic,-0.245,-0.1698,0.0752,3400141370
Margate,Atlantic,-0.0165,-0.0208,-0.0043,3400143890
Mullica,Atlantic,-0.1927,-0.227,-0.0343,3400149410
Northfield,Atlantic,-0.0608,-0.0135,0.0473,3400152950
Pleasantville,Atlantic,0.7997,0.6985,-0.1012,3400159640
Port Republic City,Atlantic,-0.246,-0.2328,0.0132,3400160600
Somers Point,Atlantic,-0.0023,0.0301,0.0324,3400168430
Ventor City,Atlantic,0.0278,0.0334,0.0056,3400175620
Weymouth,Atlantic,-0.2104,-0.2154,-0.005,3400180330
ALLENDALE BORO,Bergen,0.0009,0.1144,0.1135,3400300700
ALPINE BORO,Bergen,0.0433,0.0517,0.0084,3400301090
BERGENFIELD BORO,Bergen,0.3168,0.3019,-0.0149,3400305170
BOGOTA BORO,Bergen,0.3189,0.3084,-0.0105,3400306490
CARLSTADT BORO,Bergen,-0.0602,-0.0172,0.043,3400310480
CLIFFSIDE PARK BORO,Bergen,0.2662,0.2152,-0.051,3400313570
CLOSTER BORO,Bergen,0.2121,0.2609,0.0488,3400313810
CRESSKILL BORO,Bergen,0.1009,0.1634,0.0625,3400315820
DEMAREST BORO,Bergen,0.2877,0.3578,0.0701,3400317530
DUMONT BORO,Bergen,0.0569,0.1296,0.0727,3400318400
EAST RUTHERFORD BORO,Bergen,0.0465,0.109,0.0625,3400319510
EDGEWATER BORO,Bergen,0.4266,0.4046,-0.022,3400320020
ELMWOOD PARK BORO,Bergen,0.1003,0.0778,-0.0225,3400321300
EMERSON BORO,Bergen,-0.1427,-0.0489,0.0938,3400321450
ENGLEWOOD CITY,Bergen,0.6153,0.5301,-0.0852,3400321480
ENGLEWOOD CLIFFS BORO,Bergen,0.0958,0.0916,-0.0042,3400321510
FAIR LAWN BORO,Bergen,0.1151,0.1311,0.016,3400322470
FAIRVIEW BORO,Bergen,0.3235,0.2227,-0.1008,3400322560
FORT LEE BORO,Bergen,0.2769,0.2567,-0.0202,3400324420
FRANKLIN LAKES BORO,Bergen,-0.2581,-0.1723,0.0858,3400324990
GARFIELD CITY,Bergen,0.1773,0.1319,-0.0454,3400325770
GLEN ROCK BORO,Bergen,0.2541,0.3362,0.0821,3400326640
HACKENSACK CITY,Bergen,0.5491,0.5278,-0.0213,3400328680
HARRINGTON PARK BORO,Bergen,0.0895,0.2004,0.1109,3400330150
HASBROUCK HEIGHTS BORO,Bergen,-0.0539,0.0162,0.0701,3400330420
HAWORTH BORO,Bergen,0.2313,0.3669,0.1356,3400330540
HILLSDALE BORO,Bergen,-0.0056,0.0726,0.0782,3400331920
HO-HO-KUS BORO,Bergen,-0.0164,0.0885,0.1049,3400332310
LEONIA BORO,Bergen,0.4229,0.4103,-0.0126,3400340020
LITTLE FERRY BORO,Bergen,0.1491,0.1725,0.0234,3400340680
LODI BORO,Bergen,0.2419,0.2094,-0.0325,3400341100
LYNDHURST TWP,Bergen,-0.0627,-0.0061,0.0566,3400342090
MAHWAH TWP,Bergen,-0.0917,0.0035,0.0952,3400342750
MAYWOOD BORO,Bergen,0.1101,0.1946,0.0845,3400344880
MIDLAND PARK BORO,Bergen,-0.1236,0.0198,0.1434,3400346110
MONTVALE BORO,Bergen,-0.0599,0.0497,0.1096,3400347610
MOONACHIE BORO,Bergen,0.0235,0.0376,0.0141,3400347700
NEW MILFORD BORO,Bergen,0.0662,0.1213,0.0551,3400351660
NORTH ARLINGTON BORO,Bergen,-0.0058,-0.0006,0.0052,3400352320
NORTHVALE BORO,Bergen,-0.0723,0.0039,0.0762,3400353430
NORWOOD BORO,Bergen,0.0599,0.1252,0.0653,3400353610
OAKLAND BORO,Bergen,-0.1233,-0.0337,0.0896,3400353850
OLD TAPPAN BORO,Bergen,-0.0955,-0.0336,0.0619,3400354870
ORADELL BORO,Bergen,0.0288,0.1461,0.1173,3400354990
PALISADES PARK BORO,Bergen,0.3228,0.2198,-0.103,3400355770
PARAMUS BORO,Bergen,-0.0191,-0.0101,0.009,3400355950
PARK RIDGE BORO,Bergen,-0.104,-0.0128,0.0912,3400356130
RAMSEY BORO,Bergen,-0.0311,0.085,0.1161,3400361680
RIDGEFIELD BORO,Bergen,0.0948,0.104,0.0092,3400362910
RIDGEFIELD PARK VILLAGE,Bergen,0.2808,0.3068,0.026,3400362940
RIDGEWOOD VILLAGE,Bergen,0.2586,0.3376,0.079,3400363000
RIVER EDGE BORO,Bergen,0.1479,0.2462,0.0983,3400363360
RIVER VALE TWP,Bergen,-0.0516,0.0387,0.0903,3400363690
ROCHELLE PARK TWP,Bergen,-0.048,0.0438,0.0918,3400363990
ROCKLEIGH BORO,Bergen,-0.1296,-0.1304,-0.0008,3400364170
RUTHERFORD BORO,Bergen,0.1256,0.1907,0.0651,3400365280
SADDLE BROOK TWP,Bergen,-0.0951,-0.0386,0.0565,3400365340
SADDLE RIVER BORO,Bergen,-0.3303,-0.2408,0.0895,3400365400
SOUTH HACKENSACK TWP,Bergen,0.0862,0.0817,-0.0045,3400368970
TEANECK TWP,Bergen,0.5409,0.4559,-0.085,3400372360
TENAFLY BORO,Bergen,0.3868,0.4273,0.0405,3400372420
TETERBORO BORO,Bergen,0,-0.1428,-0.1428,3400372480
UPPER SADDLE RIVER BORO,Bergen,-0.0909,0.0004,0.0913,3400375140
WALDWICK BORO,Bergen,-0.0821,0.0313,0.1134,3400376400
WALLINGTON BORO,Bergen,-0.1451,-0.1595,-0.0144,3400376490
WASHINGTON TWP,Bergen,-0.1574,-0.0645,0.0929,3400377135
WESTWOOD BORO,Bergen,0.049,0.1261,0.0771,3400380270
WOOD-RIDGE BORO,Bergen,-0.0547,0.0502,0.1049,3400382570
WOODCLIFF LAKE BORO,Bergen,0.0687,0.1731,0.1044,3400382300
WYCKOFF TWP,Bergen,-0.1206,-0.031,0.0896,3400383050
Bass River Township,Burlington,-0.4726,-0.47985782,-0.00725782,3400503370
Beverly City,Burlington,0.2628,0.340188518,0.077388518,3400505740
Bordentown City,Burlington,0.2786,0.342881213,0.064281213,3400506670
Bordentown Township,Burlington,0.077,0.142774566,0.065774566,3400506700
Burlington City,Burlington,0.3632,0.395807128,0.032607128,3400508920
Burlington Township,Burlington,0.3366,0.38442285,0.04782285,3400508950
Chesterfield Township,Burlington,-0.0262,0.063360882,0.089560882,3400512670
Cinnaminson Township,Burlington,0.0417,0.089186176,0.047486176,3400512940
Delanco Township,Burlington,0.1325,0.216748768,0.084248768,3400517080
Delran Township,Burlington,0.0878,0.111895264,0.024095264,3400517440
Eastampton Township,Burlington,0.1565,0.201995012,0.045495012,3400518790
Edgewater Park Township,Burlington,0.3326,0.385015363,0.052415363,3400520050
Evesham Township,Burlington,0.0763,0.140036147,0.063736147,3400522110
Fieldsboro Boro,Burlington,0.0365,0.159375,0.122875,3400523250
Florence Township,Burlington,0.0359,0.115101038,0.079201038,3400523850
Hainesport Township,Burlington,-0.0044,0.017629775,0.022029775,3400529010
Lumberton Township,Burlington,0.1954,0.254226096,0.058826096,3400542060
